season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Precious Achiuwa,achiupr01,26.0,SAC,C,26,13.0,516.0,14.0,0.521,0.155,0.329,10.4,20.0,15.0,8.0,1.8,1.9,5.8,15.5,0.4,0.4,0.8,0.072,-1.4,-0.7,-2.2,0.0,1
2026,Steven Adams,adamsst01,32.0,HOU,C,25,7.0,542.0,16.4,0.541,0.0,0.573,23.2,21.0,22.1,8.0,1.6,2.4,16.4,12.6,0.9,0.7,1.7,0.148,0.4,-0.5,-0.1,0.3,1
2026,Bam Adebayo,adebaba01,28.0,MIA,C,25,25.0,774.0,16.9,0.561,0.31,0.336,5.4,26.1,15.9,11.3,1.5,2.5,10.6,23.4,0.4,1.4,1.7,0.108,0.1,1.1,1.2,0.6,3
2026,Jarrett Allen,allenja01,27.0,CLE,C,24,24.0,613.0,19.8,0.638,0.027,0.405,8.7,23.3,15.9,11.6,1.8,2.8,13.0,20.2,1.2,0.9,2.1,0.162,0.5,0.8,1.3,0.5,2
2026,Deandre Ayton,aytonde01,27.0,LAL,C,27,27.0,795.0,18.9,0.705,0.0,0.156,11.1,23.0,17.2,4.6,1.3,3.1,14.9,17.9,1.4,0.8,2.2,0.133,0.1,-1.1,-1.0,0.2,0
2026,Goga Bitadze,bitadgo01,26.0,ORL,C,30,0.0,503.0,20.2,0.737,0.078,0.437,12.7,21.0,16.8,11.4,2.0,6.7,13.4,11.8,1.4,0.9,2.4,0.228,0.9,3.4,4.2,0.8,0
2026,Wendell Carter Jr.,cartewe01,26.0,ORL,C,33,33.0,1000.0,14.8,0.639,0.38,0.391,9.3,18.0,13.6,9.2,1.1,2.0,11.9,15.1,1.9,1.2,3.1,0.147,-0.2,0.6,0.4,0.6,3
2026,Nic Claxton,claxtni01,26.0,BRK,C,30,30.0,910.0,19.6,0.619,0.04,0.458,9.9,20.3,14.9,23.0,1.3,4.0,12.2,17.8,2.2,1.1,3.2,0.171,1.5,1.6,3.1,1.2,2
2026,Donovan Clingan,clingdo01,21.0,POR,C,30,30.0,789.0,19.4,0.61,0.335,0.309,17.6,25.5,21.4,9.5,1.0,4.7,9.3,14.8,1.9,1.0,2.9,0.177,2.0,-0.2,1.7,0.7,0
2026,Moussa Diabaté,diabamo01,24.0,CHO,C,32,6.0,744.0,18.0,0.646,0.0,0.573,18.2,21.3,19.8,7.9,1.7,3.4,11.7,12.5,1.9,0.8,2.7,0.172,-0.1,-0.3,-0.3,0.3,0
