season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Santi Aldama,aldamsa01,25.0,MEM,PF,33,8.0,922.0,16.5,0.572,0.423,0.221,5.7,19.4,12.7,16.0,1.6,2.4,9.8,20.5,0.9,1.3,2.2,0.114,1.1,0.9,2.0,0.9,1
2026,Giannis Antetokounmpo,antetgi01,31.0,MIL,PF,20,20.0,574.0,34.8,0.669,0.081,0.564,12.8,26.2,19.7,42.2,1.5,2.9,13.3,38.2,2.5,0.8,3.2,0.27,8.5,2.1,10.6,1.8,1
2026,OG Anunoby,anunoog01,28.0,NYK,PF,23,23.0,741.0,14.0,0.571,0.496,0.25,4.3,14.3,9.2,8.6,2.8,2.4,13.1,19.9,0.4,1.0,1.4,0.089,-0.8,0.5,-0.3,0.3,2
2026,Marvin Bagley III,baglema01,26.0,WAS,PF,27,7.0,533.0,20.3,0.663,0.079,0.35,13.4,15.6,14.5,13.2,1.2,3.3,11.7,18.2,1.4,0.2,1.6,0.145,1.9,-0.9,1.1,0.4,0
2026,Paolo Banchero,banchpa01,23.0,ORL,PF,24,24.0,797.0,16.8,0.543,0.234,0.527,3.1,25.1,14.0,21.2,0.8,2.1,12.0,26.7,0.4,1.1,1.5,0.09,0.5,0.8,1.3,0.7,1
2026,Dominick Barlow,barlodo01,22.0,PHI,PF,21,18.0,554.0,13.9,0.602,0.25,0.279,8.7,14.0,11.3,9.5,1.7,2.9,12.6,13.1,0.7,0.6,1.4,0.119,-1.1,0.7,-0.4,0.2,0
2026,Harrison Barnes,barneha02,33.0,SAS,PF,33,33.0,972.0,12.5,0.611,0.589,0.221,3.3,9.0,6.2,9.8,1.5,0.4,9.9,15.7,1.3,0.9,2.3,0.111,0.1,-0.1,0.0,0.5,2
2026,Scottie Barnes,barnesc01,24.0,TOR,PF,35,35.0,1194.0,19.8,0.584,0.229,0.235,7.5,20.6,14.0,23.5,1.9,4.4,13.6,23.5,1.6,2.0,3.6,0.146,1.9,2.2,4.1,1.8,0
2026,Nicolas Batum,batumni01,37.0,LAC,PF,31,3.0,638.0,7.8,0.584,0.95,0.058,2.8,12.0,7.5,5.1,2.0,1.9,13.9,10.0,0.1,0.5,0.6,0.046,-2.1,0.4,-1.7,0.1,2
2026,Miles Bridges,bridgmi02,27.0,CHO,PF,32,32.0,1074.0,16.2,0.549,0.44,0.268,3.3,17.5,10.5,17.7,0.8,1.6,7.4,24.4,1.5,0.6,2.1,0.094,1.3,-1.2,0.1,0.6,1
2026,Matas Buzelis,buzelma01,21.0,CHI,PF,33,33.0,900.0,14.2,0.597,0.451,0.26,4.3,15.6,10.1,7.7,1.4,4.3,12.8,20.6,0.3,0.9,1.2,0.064,-1.8,-0.3,-2.1,0.0,2
2026,Toumani Camara,camarto01,25.0,POR,PF,34,34.0,1134.0,9.5,0.539,0.66,0.16,5.9,10.9,8.4,11.8,1.5,1.1,15.3,16.5,0.2,0.8,0.9,0.039,-1.9,-0.8,-2.7,-0.2,2
