season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Jose Alvarado,alvarjo01,27.0,NOP,PG,32,0.0,713.0,11.8,0.573,0.635,0.104,1.9,11.4,6.5,19.4,2.2,0.5,14.4,15.8,0.5,0.3,0.8,0.052,-1.4,-0.5,-1.9,0.0,0
2026,LaMelo Ball,ballla01,24.0,CHO,PG,23,23.0,653.0,19.2,0.547,0.529,0.21,3.9,17.1,10.5,48.6,2.0,0.8,16.6,32.8,0.7,0.5,1.2,0.087,3.7,-1.2,2.5,0.8,1
2026,Lonzo Ball,balllo01,28.0,CLE,PG,25,3.0,581.0,9.5,0.425,0.813,0.139,4.5,15.0,9.6,24.0,2.9,0.9,21.2,13.7,-0.3,0.8,0.5,0.042,-3.1,1.4,-1.7,0.0,2
2026,Anthony Black,blackan01,22.0,ORL,PG,34,14.0,1012.0,13.8,0.556,0.351,0.324,3.0,12.4,7.7,17.5,2.1,1.8,14.0,22.7,0.1,1.3,1.4,0.068,-1.2,0.8,-0.4,0.4,0
2026,Jalen Brunson,brunsja01,29.0,NYK,PG,30,30.0,1064.0,22.5,0.596,0.371,0.296,2.0,8.3,5.1,30.3,1.1,0.2,8.0,31.6,3.6,0.6,4.2,0.188,5.5,-1.8,3.7,1.5,1
2026,Bub Carrington,carrica01,20.0,WAS,PG,32,11.0,866.0,9.0,0.552,0.555,0.172,1.7,13.1,7.4,21.6,0.8,0.5,20.0,16.6,-0.1,0.0,-0.2,-0.009,-2.5,-2.2,-4.7,-0.6,0
2026,Stephon Castle,castlst01,21.0,SAS,PG,24,24.0,734.0,17.0,0.586,0.326,0.498,4.2,13.2,8.8,33.3,2.0,0.9,19.9,26.2,0.7,0.9,1.6,0.104,0.4,0.3,0.7,0.5,1
2026,Isaiah Collier,colliis01,21.0,UTA,PG,24,1.0,536.0,12.2,0.583,0.213,0.522,1.2,9.5,5.3,39.2,1.3,1.4,25.4,17.2,0.4,0.0,0.4,0.04,-1.8,-2.1,-3.8,-0.3,2
2026,Mike Conley,conlemi01,38.0,MIN,PG,29,6.0,554.0,10.1,0.539,0.725,0.275,2.0,8.2,5.2,20.0,1.6,1.1,11.2,11.6,0.7,0.6,1.3,0.109,-2.1,1.0,-1.1,0.1,0
2026,Cade Cunningham,cunnica01,24.0,DET,PG,30,30.0,1071.0,22.2,0.573,0.307,0.343,3.5,15.6,9.6,42.4,2.0,2.0,14.5,30.9,2.4,1.6,4.0,0.178,4.8,1.1,6.0,2.1,1
