season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Deni Avdija,avdijde01,25.0,POR,SF,34,34.0,1195.0,19.9,0.609,0.388,0.584,2.9,19.7,11.1,31.6,1.1,1.6,16.0,28.3,2.5,1.0,3.5,0.14,3.8,0.2,4.0,1.8,3
2026,Ace Bailey,baileac01,19.0,UTA,SF,30,21.0,715.0,10.0,0.529,0.448,0.107,6.4,8.5,7.5,9.4,1.4,1.5,11.2,19.0,-0.1,0.1,0.0,-0.003,-2.3,-2.2,-4.5,-0.4,0
2026,RJ Barrett,barrerj01,25.0,TOR,SF,19,19.0,574.0,17.4,0.596,0.365,0.323,2.7,15.7,9.2,19.1,1.2,0.7,8.5,24.3,0.9,0.7,1.5,0.129,1.3,-0.6,0.6,0.4,3
2026,Saddiq Bey,beysa01,26.0,NOP,SF,34,26.0,1016.0,15.9,0.55,0.42,0.258,6.0,15.6,10.7,11.2,1.5,0.2,4.3,19.9,1.6,0.3,1.9,0.091,1.5,-2.0,-0.4,0.4,0
2026,Mikal Bridges,bridgmi01,29.0,NYK,SF,33,33.0,1164.0,17.5,0.628,0.444,0.098,3.4,10.9,7.0,17.1,2.3,2.6,7.6,16.6,2.8,1.3,4.1,0.167,2.9,1.4,4.3,1.9,2
2026,Dillon Brooks,brookdi01,30.0,PHO,SF,27,27.0,837.0,14.9,0.565,0.412,0.23,2.5,8.9,5.6,8.7,2.1,0.2,9.7,28.3,0.5,0.7,1.2,0.07,-0.8,-1.0,-1.8,0.1,0
2026,Jaylen Brown,brownja02,29.0,BOS,SF,30,30.0,1014.0,23.9,0.596,0.257,0.347,4.0,16.6,10.3,25.8,1.7,1.4,12.8,36.1,2.1,1.1,3.2,0.151,4.7,-0.4,4.3,1.6,3
2026,Jimmy Butler,butleji01,36.0,GSW,SF,30,30.0,947.0,22.8,0.648,0.173,0.66,7.5,11.8,9.6,24.4,2.1,0.7,9.5,22.4,3.6,1.1,4.8,0.242,4.5,0.6,5.1,1.7,3
2026,Justin Champagnie,champju01,24.0,WAS,SF,30,8.0,501.0,16.0,0.548,0.381,0.324,12.6,21.2,16.9,7.6,2.2,2.6,6.5,14.2,0.8,0.4,1.2,0.112,-0.2,-0.7,-0.8,0.1,2
2026,Julian Champagnie,champju02,24.0,SAS,SF,33,19.0,909.0,12.3,0.597,0.768,0.21,3.4,18.5,11.1,6.3,1.6,1.5,10.4,15.0,0.8,1.2,2.0,0.107,-0.1,0.4,0.3,0.5,1
2026,Sidy Cissoko,cissosi01,21.0,POR,SF,29,12.0,592.0,6.1,0.517,0.623,0.288,4.4,7.4,5.9,10.0,1.3,1.0,17.5,13.5,-0.1,0.3,0.2,0.013,-4.6,-0.8,-5.4,-0.5,1
2026,Tristan Da Silva,dasiltr01,24.0,ORL,SF,30,10.0,696.0,11.2,0.548,0.508,0.131,3.7,14.8,9.3,7.3,1.5,0.9,9.2,17.1,0.2,0.8,1.0,0.068,-1.2,0.1,-1.1,0.1,1
2026,Luguentz Dort,dortlu01,26.0,OKC,SF,25,25.0,683.0,7.8,0.517,0.762,0.09,3.7,10.0,7.0,5.1,1.4,2.2,8.0,13.4,0.0,1.2,1.2,0.088,-2.7,0.7,-2.0,0.0,1
2026,Ryan Dunn,dunnry01,23.0,PHO,SF,26,11.0,588.0,12.0,0.52,0.408,0.118,8.9,16.0,12.4,11.0,2.6,2.6,14.4,14.7,0.2,0.8,1.0,0.085,-2.4,1.2,-1.2,0.1,2
2026,Kevin Durant,duranke01,37.0,HOU,SF,28,28.0,1007.0,20.8,0.646,0.284,0.377,1.0,14.4,7.8,18.0,1.1,2.5,13.6,26.5,2.8,1.1,3.9,0.186,3.7,0.0,3.7,1.4,3
2026,Cooper Flagg,flaggco01,19.0,DAL,SF,33,33.0,1141.0,16.4,0.564,0.227,0.297,3.7,15.5,9.8,17.9,1.7,2.0,11.5,23.7,0.7,1.4,2.1,0.089,-0.2,0.6,0.4,0.7,3
