season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,cluster
2026,Nickeil Alexander-Walker,alexani01,27.0,ATL,SG,33,26.0,1080.0,14.8,0.586,0.495,0.254,2.3,8.9,5.6,14.3,1.3,1.8,10.6,24.8,0.7,0.7,1.4,0.063,0.4,-1.7,-1.3,0.2,0
2026,Grayson Allen,allengr01,30.0,PHO,SG,18,18.0,559.0,15.2,0.584,0.638,0.194,1.8,8.2,4.9,19.1,2.6,0.7,11.0,21.1,0.8,0.6,1.4,0.118,0.8,0.2,1.0,0.4,2
2026,Desmond Bane,banede01,27.0,ORL,SG,34,34.0,1147.0,14.9,0.554,0.319,0.246,4.3,10.7,7.5,20.8,1.0,1.4,11.1,24.0,1.1,1.1,2.2,0.091,0.2,-0.4,-0.2,0.5,0
2026,Devin Booker,bookede01,29.0,PHO,SG,30,30.0,1027.0,19.5,0.58,0.301,0.448,2.8,11.2,6.9,29.5,1.4,1.1,13.4,30.9,2.0,0.9,2.8,0.132,2.4,-0.8,1.6,0.9,0
2026,Bruce Brown,brownbr01,29.0,DEN,SG,33,1.0,815.0,10.3,0.553,0.25,0.216,5.6,13.6,9.8,10.6,1.8,0.9,13.9,13.7,0.5,0.7,1.2,0.068,-2.4,-0.4,-2.9,-0.2,1
2026,Kentavious Caldwell-Pope,caldwke01,32.0,MEM,SG,32,13.0,696.0,11.1,0.541,0.502,0.228,2.0,9.2,5.6,20.4,1.8,0.9,14.8,16.8,0.2,0.7,0.9,0.064,-1.9,0.4,-1.5,0.1,1
2026,Max Christie,chrisma02,22.0,DAL,SG,32,23.0,909.0,12.1,0.651,0.617,0.22,1.0,11.4,6.3,10.2,0.8,1.2,11.1,15.1,1.1,0.8,1.8,0.097,-0.1,0.0,0.0,0.4,2
2026,Jordan Clarkson,clarkjo01,33.0,NYK,SG,33,0.0,676.0,11.1,0.553,0.481,0.173,4.4,6.0,5.2,10.3,1.1,0.7,11.1,21.6,0.4,0.3,0.7,0.05,-1.8,-2.1,-3.9,-0.3,2
2026,Nique Clifford,cliffni01,23.0,SAC,SG,29,3.0,544.0,7.7,0.507,0.444,0.19,4.2,13.9,8.9,10.2,1.5,1.3,15.8,15.3,-0.4,0.2,-0.2,-0.013,-4.7,-0.9,-5.6,-0.5,1
2026,Cedric Coward,cowarce01,22.0,MEM,SG,32,19.0,871.0,15.3,0.588,0.423,0.278,6.4,18.8,12.7,16.0,0.9,1.1,11.9,20.4,1.0,1.0,2.0,0.11,0.4,0.0,0.4,0.5,0
2026,Dyson Daniels,daniedy01,22.0,ATL,SG,34,34.0,1155.0,13.3,0.514,0.157,0.188,7.3,13.8,10.5,22.7,2.7,1.2,17.0,16.6,0.4,1.2,1.6,0.068,-1.9,0.8,-1.1,0.3,1
2026,Gradey Dick,dickgr01,22.0,TOR,SG,35,0.0,546.0,9.9,0.526,0.547,0.271,2.8,10.0,6.4,5.9,2.2,0.7,7.7,17.1,0.0,0.7,0.7,0.062,-3.5,0.2,-3.4,-0.2,2
2026,Donte DiVincenzo,divindo01,29.0,MIN,SG,34,34.0,1069.0,13.8,0.577,0.753,0.197,3.5,11.8,7.7,17.8,1.9,1.2,9.7,17.2,1.5,1.3,2.8,0.126,0.6,0.8,1.4,0.9,2
2026,Ayo Dosunmu,dosunay01,26.0,CHI,SG,27,7.0,705.0,14.9,0.616,0.393,0.25,2.5,8.3,5.4,17.4,1.1,0.7,9.9,19.7,1.1,0.3,1.4,0.096,0.1,-1.3,-1.2,0.1,0
2026,VJ Edgecombe,edgecvj01,20.0,PHI,SG,27,27.0,951.0,12.9,0.523,0.407,0.173,5.6,11.2,8.3,16.8,1.8,1.1,9.9,19.9,0.6,0.9,1.5,0.075,-1.0,-0.1,-1.1,0.2,1
2026,Anthony Edwards,edwaran01,24.0,MIN,SG,27,27.0,944.0,22.8,0.63,0.415,0.378,2.2,13.4,7.9,17.7,1.9,2.1,10.9,31.3,2.0,1.2,3.2,0.164,5.3,0.4,5.7,1.8,0
2026,Keon Ellis,elliske01,26.0,SAC,SG,31,4.0,537.0,8.9,0.514,0.698,0.148,2.2,6.4,4.2,5.2,3.4,2.5,8.6,13.7,-0.2,0.4,0.2,0.019,-3.7,1.4,-2.4,0.0,2
2026,A.J. Green,greenaj01,26.0,MIL,SG,31,31.0,893.0,10.3,0.666,0.913,0.113,0.6,9.7,5.3,9.5,1.1,0.3,9.7,13.2,1.1,0.5,1.6,0.085,-1.1,-1.0,-2.1,0.0,2
2026,Javonte Green,greenja02,32.0,DET,SG,33,3.0,617.0,11.9,0.556,0.517,0.287,4.5,11.7,8.1,5.8,3.2,1.9,9.7,14.3,0.5,1.0,1.5,0.115,-2.0,1.8,-0.2,0.3,1
2026,Quentin Grimes,grimequ01,25.0,PHI,SG,29,7.0,930.0,12.9,0.583,0.572,0.33,2.0,10.9,6.3,19.1,1.5,1.1,15.3,19.3,0.7,0.8,1.5,0.079,-0.5,-0.6,-1.1,0.2,0
2026,Tim Hardaway Jr.,hardati02,33.0,DEN,SG,33,5.0,880.0,13.3,0.623,0.678,0.173,1.0,8.7,5.0,6.9,0.8,0.3,3.6,17.6,1.6,0.3,1.9,0.103,1.2,-2.4,-1.2,0.2,2
